policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst time,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst time,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl time,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt time
inf,27.974631308619287,1.0,16.844739462329173,0.3,33.80000000000021,inf,32.35736858781155,5.0,19.845282173831105,0.22,33.80000000000021,,,,,,,inf,51.713659263652474,15.0,20.04114636488194,0.16,33.80000000000021
inf,27.973145754185605,1.0,16.845429804481817,0.3,33.90000000000021,inf,32.356423676136664,5.0,19.845567370111947,0.22,33.90000000000021,,,,,,,inf,51.712139876614415,15.0,20.043530925915384,0.16,33.90000000000021
inf,27.971660199751923,1.0,16.84612236933655,0.3,34.00000000000021,inf,32.35547876446178,5.0,19.845853080686847,0.22,34.00000000000021,,,,,,,inf,51.71062048957636,15.0,20.04591739138015,0.16,34.00000000000021
inf,27.970174645318245,1.0,16.846817156619245,0.3,34.100000000000215,inf,32.354533852786886,5.0,19.846139305533583,0.22,34.100000000000215,,,,,,,inf,51.7091011025383,15.0,20.04830576059615,0.16,34.100000000000215
inf,27.968689090884567,1.0,16.84751416605495,0.3,34.200000000000216,inf,32.353588941112,5.0,19.846426044629915,0.22,34.200000000000216,,,,,,,inf,51.70758171550024,15.0,20.050696032883085,0.16,34.200000000000216
inf,27.967203536450885,1.0,16.84821339736787,0.3,34.30000000000022,inf,32.35264402943712,5.0,19.846713297953542,0.22,34.30000000000022,,,,,,,inf,51.70606232846219,15.0,20.053088207560425,0.16,34.30000000000022
inf,27.965717982017207,1.0,16.848914850281382,0.3,34.40000000000022,inf,32.35169911776223,5.0,19.847001065482143,0.22,34.40000000000022,,,,,,,inf,51.70454294142412,15.0,20.055482283947434,0.16,34.40000000000022
inf,27.964232427583525,1.0,16.849618524518032,0.3,34.50000000000022,inf,32.350754206087345,5.0,19.84728934719335,0.22,34.50000000000022,,,,,,,inf,51.70302355438607,15.0,20.057878261363157,0.16,34.50000000000022
inf,27.962746873149847,1.0,16.850324419799527,0.3,34.60000000000022,inf,32.34980929441246,5.0,19.847578143064755,0.22,34.60000000000022,,,,,,,inf,51.70150416734801,15.0,20.060276139126422,0.16,34.60000000000022
inf,27.961261318716165,1.0,16.851032535846745,0.3,34.70000000000022,inf,32.34886438273757,5.0,19.847867453073913,0.22,34.70000000000022,,,,,,,inf,51.699984780309954,15.0,20.06267591655585,0.16,34.70000000000022
inf,27.95977576428248,1.0,16.851742872379738,0.3,34.800000000000225,inf,32.34791947106269,5.0,19.848157277198354,0.22,34.800000000000225,,,,,,,inf,51.698465393271896,15.0,20.065077592969836,0.16,34.800000000000225
inf,27.9582902098488,1.0,16.85245542911772,0.3,34.900000000000226,inf,32.346974559387796,5.0,19.84844761541554,0.22,34.900000000000226,,,,,,,inf,51.69694600623384,15.0,20.06748116768657,0.16,34.900000000000226
inf,27.956804655415127,1.0,16.853170205779083,0.3,35.00000000000023,inf,32.34602964771291,5.0,19.848738467702926,0.22,35.00000000000023,,,,,,,inf,51.69542661919578,15.0,20.069886640024027,0.16,35.00000000000023
inf,27.95531910098144,1.0,16.85388720208138,0.3,35.10000000000023,inf,32.345084736038025,5.0,19.849029834037903,0.22,35.10000000000023,,,,,,,inf,51.69390723215772,15.0,20.072294009299977,0.16,35.10000000000023
inf,27.95383354654776,1.0,16.854606417741344,0.3,35.20000000000023,inf,32.34413982436314,5.0,19.84932171439784,0.22,35.20000000000023,,,,,,,inf,51.692387845119676,15.0,20.074703274831972,0.16,35.20000000000023
inf,27.95234799211408,1.0,16.85532785247487,0.3,35.30000000000023,inf,32.34319491268825,5.0,19.849614108760054,0.22,35.30000000000023,,,,,,,inf,51.69086845808162,15.0,20.077114435937354,0.16,35.30000000000023
inf,27.9508624376804,1.0,16.856051505997034,0.32,35.40000000000023,inf,32.34225000101336,5.0,19.849907017101845,0.22,35.40000000000023,,,,,,,inf,51.68934907104356,15.0,20.079527491933263,0.16,35.40000000000023
inf,27.94937688324672,1.0,16.856777378022084,0.32,35.500000000000234,inf,32.341305089338476,5.0,19.850200439400442,0.22,35.500000000000234,,,,,,,inf,51.6878296840055,15.0,20.08194244213662,0.16,35.500000000000234
inf,27.94789132881304,1.0,16.857505468263433,0.32,35.600000000000236,inf,32.34036017766359,5.0,19.850494375633073,0.22,35.600000000000236,,,,,,,inf,51.68631029696744,15.0,20.08435928586415,0.16,35.600000000000236
