gradient_descent_sst best cost max,gradient_descent_sst best cost mean,gradient_descent_sst best cost min,gradient_descent_sst best cost std,gradient_descent_sst success fraction,gradient_descent_sst time,policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst time,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst time,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl time,rl_rrt best cost max,rl_rrt best cost mean,rl_rrt best cost min,rl_rrt best cost std,rl_rrt success fraction,rl_rrt time,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt time
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,460.8000000000363,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,460.9000000000363,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,461.0000000000363,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,461.10000000003635,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,461.20000000003637,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,461.3000000000364,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,461.4000000000364,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,461.50000000003644,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,461.60000000003646,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,461.7000000000365,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,461.8000000000365,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,461.9000000000365,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,462.00000000003655,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,462.1000000000366,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,462.2000000000366,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,462.3000000000366,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,462.40000000003664,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,462.50000000003666,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,462.6000000000367,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,462.7000000000367,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,462.80000000003673,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,462.90000000003675,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,463.0000000000368,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,463.1000000000368,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,463.2000000000368,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,463.30000000003685,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,463.40000000003687,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,463.5000000000369,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,463.6000000000369,,,,,,
