gradient_descent_sst best cost max,gradient_descent_sst best cost mean,gradient_descent_sst best cost min,gradient_descent_sst best cost std,gradient_descent_sst success fraction,gradient_descent_sst time,policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst time,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst time,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl time,rl_rrt best cost max,rl_rrt best cost mean,rl_rrt best cost min,rl_rrt best cost std,rl_rrt success fraction,rl_rrt time,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt time
inf,18.829787234042552,3.0,10.87906275088573,0.94,62.200000000000614,4.0,2.62,1.0,0.9141115905621151,1.0,62.200000000000614,4.0,2.82,1.0,0.7922120928135343,1.0,62.200000000000614,4.0,2.78,1.0,0.9651942809610923,1.0,62.200000000000614,inf,23.88888888888889,13.0,17.110389595177708,0.4,62.200000000000614,inf,17.32608695652174,3.0,10.363091589713294,0.92,62.200000000000614
inf,18.829787234042552,3.0,10.87906275088573,0.94,62.300000000000615,4.0,2.62,1.0,0.9141115905621151,1.0,62.300000000000615,4.0,2.82,1.0,0.7922120928135343,1.0,62.300000000000615,4.0,2.78,1.0,0.9651942809610923,1.0,62.300000000000615,inf,23.88888888888889,13.0,17.110389595177708,0.4,62.300000000000615,inf,17.32608695652174,3.0,10.363091589713294,0.92,62.300000000000615
inf,18.829787234042552,3.0,10.87906275088573,0.94,62.40000000000062,4.0,2.62,1.0,0.9141115905621151,1.0,62.40000000000062,4.0,2.82,1.0,0.7922120928135343,1.0,62.40000000000062,4.0,2.78,1.0,0.9651942809610923,1.0,62.40000000000062,inf,23.88888888888889,13.0,17.110389595177708,0.4,62.40000000000062,inf,17.32608695652174,3.0,10.363091589713294,0.92,62.40000000000062
inf,18.829787234042552,3.0,10.87906275088573,0.94,62.50000000000062,4.0,2.62,1.0,0.9141115905621151,1.0,62.50000000000062,4.0,2.82,1.0,0.7922120928135343,1.0,62.50000000000062,4.0,2.78,1.0,0.9651942809610923,1.0,62.50000000000062,inf,23.88888888888889,13.0,17.110389595177708,0.4,62.50000000000062,inf,17.32608695652174,3.0,10.363091589713294,0.92,62.50000000000062
inf,18.829787234042552,3.0,10.87906275088573,0.94,62.60000000000062,4.0,2.62,1.0,0.9141115905621151,1.0,62.60000000000062,4.0,2.82,1.0,0.7922120928135343,1.0,62.60000000000062,4.0,2.78,1.0,0.9651942809610923,1.0,62.60000000000062,inf,23.88888888888889,13.0,17.110389595177708,0.4,62.60000000000062,inf,17.32608695652174,3.0,10.363091589713294,0.92,62.60000000000062
inf,18.829787234042552,3.0,10.87906275088573,0.94,62.70000000000062,4.0,2.62,1.0,0.9141115905621151,1.0,62.70000000000062,4.0,2.82,1.0,0.7922120928135343,1.0,62.70000000000062,4.0,2.78,1.0,0.9651942809610923,1.0,62.70000000000062,inf,23.88888888888889,13.0,17.110389595177708,0.4,62.70000000000062,inf,17.32608695652174,3.0,10.363091589713294,0.92,62.70000000000062
inf,18.829787234042552,3.0,10.87906275088573,0.94,62.80000000000062,4.0,2.62,1.0,0.9141115905621151,1.0,62.80000000000062,4.0,2.82,1.0,0.7922120928135343,1.0,62.80000000000062,4.0,2.78,1.0,0.9651942809610923,1.0,62.80000000000062,inf,23.88888888888889,13.0,17.110389595177708,0.4,62.80000000000062,inf,17.32608695652174,3.0,10.363091589713294,0.92,62.80000000000062
inf,18.829787234042552,3.0,10.87906275088573,0.94,62.900000000000624,4.0,2.62,1.0,0.9141115905621151,1.0,62.900000000000624,4.0,2.82,1.0,0.7922120928135343,1.0,62.900000000000624,4.0,2.78,1.0,0.9651942809610923,1.0,62.900000000000624,inf,23.88888888888889,13.0,17.110389595177708,0.4,62.900000000000624,inf,17.32608695652174,3.0,10.363091589713294,0.92,62.900000000000624
inf,18.829787234042552,3.0,10.87906275088573,0.94,63.000000000000625,4.0,2.62,1.0,0.9141115905621151,1.0,63.000000000000625,4.0,2.82,1.0,0.7922120928135343,1.0,63.000000000000625,4.0,2.78,1.0,0.9651942809610923,1.0,63.000000000000625,inf,23.88888888888889,13.0,17.110389595177708,0.4,63.000000000000625,inf,17.32608695652174,3.0,10.363091589713294,0.92,63.000000000000625
inf,18.829787234042552,3.0,10.87906275088573,0.94,63.10000000000063,4.0,2.62,1.0,0.9141115905621151,1.0,63.10000000000063,4.0,2.82,1.0,0.7922120928135343,1.0,63.10000000000063,4.0,2.78,1.0,0.9651942809610923,1.0,63.10000000000063,inf,23.88888888888889,13.0,17.110389595177708,0.4,63.10000000000063,inf,17.32608695652174,3.0,10.363091589713294,0.92,63.10000000000063
